Timestamp,Document Type,Document Number,Customer Name,Status,Message,Row Number
2025-11-25 11:37:02,Credit_note,CN23040001,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,30
2025-11-25 11:37:02,Credit_note,CRP1600183,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,22
2025-11-25 11:37:03,Credit_note,CRP1600267,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,23
2025-11-25 11:37:03,Credit_note,CRP1700172,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,24
2025-11-25 11:37:04,Credit_note,CRP1700316,"CSC COMPLEX CENTER CO.,LTD.",Success,Successfully processed,2
2025-11-25 11:37:05,Credit_note,CRP1800132,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,3
2025-11-25 11:37:05,Credit_note,CRP1800133,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,4
2025-11-25 11:37:06,Credit_note,CRP1800165,"CSC Complex Center Sole Co.,Ltd.",Success,Successfully processed,5
2025-11-25 11:37:07,Credit_note,CRP1800319,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,6
2025-11-25 11:37:07,Credit_note,CRP1900031,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,7
2025-11-25 11:37:08,Credit_note,CRP1900217,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,25
2025-11-25 11:37:08,Credit_note,CRP1900268,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,26
2025-11-25 11:37:09,Credit_note,CRP2000089,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,8
2025-11-25 11:37:10,Credit_note,CRP2100355,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,27
2025-11-25 11:37:10,Credit_note,CRP2100367,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,9
2025-11-25 11:37:11,Credit_note,CRP2200213,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,28
2025-11-25 11:37:12,Credit_note,CRP2200214,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,29
2025-11-25 11:37:12,Credit_note,CRP2300195,"CSC VIENTIANE SOLE CO.,LTD.",Success,Successfully processed,20
2025-11-25 11:37:13,Credit_note,CRP2400021,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,10
2025-11-25 11:37:13,Credit_note,CRP2400243,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,11
2025-11-25 11:37:14,Credit_note,CRP2400297,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,12
2025-11-25 11:37:15,Credit_note,CRP2400298,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,13
2025-11-25 11:37:15,Credit_note,CRP2500337,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,14
2025-11-25 11:37:16,Credit_note,CRP2500338,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,15
2025-11-25 11:37:16,Credit_note,CRP2500339,SOUVANNY HOMECENTER PUBLIC COMPANY,Success,Successfully processed,31
2025-11-25 11:37:17,Credit_note,CRP2500340,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,16
2025-11-25 11:37:18,Credit_note,CRP2500341,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,17
2025-11-25 11:37:18,Credit_note,CRP2500342,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,18
2025-11-25 11:37:19,Credit_note,CRP2500343,"CSC COMPLEX CENTER SOLE CO.,LTD.",Success,Successfully processed,19
2025-11-25 11:37:19,Credit_note,EXCN1210001,Haitam Trading&Contruction,Success,Successfully processed,21
